"Species","Male","Female","Total","Relative abundance"
"Peckia (Sarcodexia) lambens","5","75","80","18.18"
"Helicobia aurescens","-","1","1","0.23"
"Helicobia sp","-","1","1","0.23"
"Bercaea cruentata","-","1","1","0.23"
"Oxysarcodexia sp","5","29","34","7.73"
"Oxysarcodexia thornax","36","43","79","17.95"
"Oxysarcodexia paulistanensis","3","2","5","1.14"
"Oxysarcodexia culmiforcipes","2","1","3","0.68"
"Oxysarcodexia avuncula","4","6","10","2.27"
"Oxysarcodexia angrensis","-","3","3","0.68"
"Oxysarcodexia diana","-","1","1","0.23"
"Ravinia belforti","1","4","5","1.14"
"Peckia (Squamatodes) ingens","7","9","16","3.63"
"Peckia (Euboettcheria) florencioi","3","10","13","2.95"
"Peckia (Euboettcheria) collusor","37","19","56","12.72"
"Peckia (Euboettcheria) anguilla","8","18","26","5.91"
"Peckia (Euboettcheria) sp","5","41","46","10.45"
"Peckia (Pattonella) intermutans","11","30","41","9.32"
"Oxysarcodexia admixta","1","-","1","0.23"
"Peckia (Euboettcheria) australis","9","-","9","2.04"
"Peckia (Peckia) chrysostoma","1","-","1","0.23"
"Oxysarcodexia parva","1","-","1","0.23"
"Sarcophaga (Lipoptilocnema) 
crispula","2","-","2","0.45"
"Peckia sp","1","-","1","0.23"
"Peckia (Peckia) pexata","1","-","1","0.23"
