"Species","Urban area N°","Urban area %","Rural area N°","Rural area %","Forest area N°","Forest area %","SI","Total"
"Peckia (Sarcodexia) lambens","35","43.21","9","11.11","37","45.68","3.085","80"
"Helicobia aurescens","-","-","-","-","1","100","-","1"
"Helicobia sp","1","100","-","-","-","-","-","1"
"Bercaea cruentata","1","100","-","-","-","-","-","1"
"Oxysarcodexia sp","5","14.71","1","2.94","28","82.35","-66.17","34"
"Oxysarcodexia thornax","35","44.87","29","35.90","14","19.23","43.59","79"
"Oxysarcodexia paulistanensis","3","60","1","20","1","20","-","5"
"Oxysarcodexia culmiforcipes","-","-","1","33.33","2","66.66","-","3"
"Oxysarcodexia avuncula","-","-","1","10","9","90","-","10"
"Oxysarcodexia angrensis","-","-","-","-","3","100","-","3"
"Oxysarcodexia diana","1","100","-","-","-","-","-","1"
"Ravinia belforti","2","40","3","60","-","-","-","5"
"Peckia (Squamatodes) ingens","1","6.25","2","12.5","13","81.25","-68.75","16"
"Peckia (Euboettcheria) florencioi","-","-","-","-","13","100","-","13"
"Peckia (Euboettcheria) collusor","3","5.36","-","-","53","94.64","-89.28","56"
"Peckia (Euboettcheria) anguilla","3","11.54","2","7.69","21","80.77","-65.385","26"
"Peckia (Euboettcheria) sp","-","-","1","2.17","45","97.83","-96.745","46"
"Peckia (Pattonella) intermutans","-","-","-","-","41","100","-100","41"
"Oxysarcodexia admixta","-","-","-","-","1","100","-","1"
"Peckia (Euboettcheria) australis","-","-","-","-","9","100","-","9"
"Peckia (Peckia) chrysostoma","-","-","-","-","1","100","-","1"
"Oxysarcodexia parva","-","-","-","-","1","100","-","1"
