"Species","Liver N°","Liver %","Minced Meat N° "Minced Meat %","Sardine N°","Sardine %","Total"
"Peckia (Sarcodexia) lambens","8","10.0","26","32.5","46","57.5","80"
"Helicobia aurescens","1","100","-","","-","","1"
"Helicobia sp","-","-","-","","1","100","1"
"Bercaea cruentata","1","100","-","-","-","-","1"
"Oxysarcodexia sp","10","29.41","7","20.59","17","50.0","34"
"Oxysarcodexia thornax","19","24.05","13","16.45","47","59. 0","79"
"Oxysarcodexia paulistanensis","2","40","2","40","1","10","5"
"Oxysarcodexia culmiforcipes","-","-","-","-","3","100","3"
"Oxysarcodexia avuncula","3","30","1","10","6","60","10"
"Oxysarcodexia angrensis","2","66.66","1","33.33","-","-","3"
"Oxysarcodexia diana","-","-","-","-","1","100","1"
"Ravinia belforti","1","20","-","-","4","80","5"
"Peckia (Squamatodes) ingens","1","6.25","10","62.5","5","31.5","16"
"Peckia (Euboettcheria) florencioi","3","23.08","5","38.46","5","38.6","13"
"Peckia (Euboettcheria) collusor","5","","25","","26","","56"
"Peckia (Euboettcheria) anguilla","1","","13","","12","","26"
"Peckia (Euboettcheria) sp","5","","20","","21","","46"
"Peckia (Pattonella) intermutans","23","","10","","8","","41"
"Oxysarcodexia admixta","-","-","-","-","1","100","1"
"Peckia (Euboettcheria) australis","-","-","2","22.22","7","77.78","9"
"Peckia (Peckia) chrysostoma","-","-","1","100","-","-","1"
"Oxysarcodexia parva","-","-","1","100","-","-","1"
"Sarcophaga (Lipoptilocnema) crispula","-","-","-","-","2","100.0","2"
"Peckia sp","-","-","-","-","1","100.","1"
